DATA;PROVINCIA;LOCALITA;TIPO;TRAVOLTI;ILLESI;FERITI;MORTI
08/10/2000;SO;Statale dello Stelvio -P. Stelvio - Bormio;6;2;2;;
01/11/2000;BL;M. Marmolada -P. Rocca;1;2;;2;
01/11/2000;SO;Monte Scorluzzo -P. Stelvio - Bormio;4;3;3;;
02/11/2000;TN;Latemar -Pampeago;3;1;;1;
05/11/2000;SO;M. Corno - Passo Foscagno - Livigno;2;4;2;2;
19/11/2000;BZ;Val Senales;3;1;1;;
26/11/2000;SO;Primolo -Valmalenco;8;2;1;1;
26/11/2000;VB;Cima Bianca -Domodossola;3;1;;1;
02/12/2000;BL;Ra Vales -Cortina;8;1;1;;
30/12/2000;TN;Serodoli -Madonna di Campiglio;2;1;;;1
30/12/2000;TN;Malga Spora -Andalo;8;2;;1;1
30/12/2000;BG;Monte Arera -Val Seriana;2;1;;1;
31/12/2000;AO;Ecures -La Salle;2;1;;1;
31/12/2000;TN;Monte Bondone;3;1;;1;
31/12/2000;UD;M. Cimacuta -Forni di Sopra Prealpi Carniche;1;3;2;1;
02/01/2001;TN;Col Capel -Pampeago;3;2;1;;1
06/01/2001;TN;Val di Rabbi;5;3;1;2;
06/01/2001;AO;Les Souches -La Thuile;3;1;;;1
06/01/2001;TN;Val Daone;5;2;;;2
08/01/2001;BZ;Maso Corto -Val Senales;3;2;;1;1
09/01/2001;SO;Plaghera -S. Caterina;4;5;3;2;
09/01/2001;AO;Pavillon -Courmayeur;3;3;2;1;
10/01/2001;BZ;Passo Giovo;8;2;2;;
14/01/2001;AO;Punta Chaligne;1;4;;2;2
23/01/2001;AO;Alpe Zindean -Lago Gabiet;3;1;1;;
26/01/2001;SO;Cima di Lemma -Val Tartano;1;1;1;;
27/01/2001;SO;Pizzo Meriggio -Albosaggia;2;1;1;;
28/01/2001;BZ;Racines;3;3;3;;
28/01/2001;CN;Colle di Sampeyre -Val Varaita;8;1;;;1
28/01/2001;TN;Val Bona -Tione;2;1;;1;
28/01/2001;TN;Dosso dei Morti;2;2;2;;
29/01/2001;MC;Val di Bove -Ussita;5;2;1;1;
30/01/2001;VB;Piani della Rossa -Baceno;2;1;;;1
30/01/2001;BZ;Monte Lucco;8;2;1;;1
04/02/2001;VB;Val Formazza -Passo S. Giacomo;1;3;3;;
04/02/2001;BL;Monte Alto di Pelsa -Taibon;1;4;;4;
04/02/2001;AO;Dondena -Champorcher;3;1;1;;
04/02/2001;UD;Monte Crostis -Forni Avoltri Alpi carniche;2;1;;;1
04/02/2001;CN;Cima delle Lose -Valle Stura;1;1;;;1
09/02/2001;SO;Val Cantone -Livigno;3;1;;;1
09/02/2001;TN;Panciana -Folgarida;3;2;1;1;
10/02/2001;BZ;Val d'Ultimo;3;1;;1;
11/02/2001;LC;Grignone Settentrionale - Pasturo;5;2;2;;
11/02/2001;AO;Rocce Nere -Monte Rosa;3;3;2;1;
11/02/2001;TN;Busa de Carl -Valle dei Mocheni;1;1;;;1
11/02/2001;SO;Pizzo Tambï -Madesimo;1;1;;;1
27/02/2001;TO;Cima del Rospo -Valprato Soana;2;1;;;1
01/03/2001;TO;Val Troncea -Pragelato;3;1;;;1
03/03/2001;UD;Sella Bila Pec -Chiusaforte;8;5;5;;
04/03/2001;UD;Sella Bila Pec -Chiusaforte Alpi Giulie;8;2;1;1;
06/03/2001;TO;Grangesises -Sestriere;3;5;1;1;3
06/03/2001;AO;Couisse -Pila;3;1;1;;
13/03/2001;BL;Faloria -Cortina;3;3;3;;
14/03/2001;AO;Gressoney;2;1;;;1
19/03/2001;AO;Couisse -Pila;3;1;;;1
23/03/2001;AO;Rif. Lambronecca -Ayas;3;1;;1;
23/03/2001;AO;Plampiceaux -Courmayeur;8;1;1;;
24/03/2001;BZ;Valle Aurina;8;1;;;1
24/03/2001;AO;Rif. Bezzi -Val Grisenche;2;1;;;1
24/03/2001;BZ;Pista Contrabbandieri -Val Senales;4;1;1;;
24/03/2001;AO;Valnontey -Cogne;5;1;;;1
31/03/2001;BZ;Val Senales;1;1;1;;
05/04/2001;VB;Morasco -Val Formazza;2;7;4;1;2
08/04/2001;TO;Pian della Mussa;1;1;1;;
08/04/2001;SO;Pizzo Scalino -Valmalenco;2;3;3;;
09/04/2001;SO;Cima Manzina -Valfurva;2;1;1;;
22/04/2001;SO;Monte Rotondo -Val Gerola;1;2;1;1;
22/04/2001;AO;Cime Bianche -Valtournanche;3;1;1;;
23/04/2001;BL;Monte Cristallo -Cortina d' Ampezzo;8;2;2;;
28/04/2001;BZ;Tubre;2;1;1;;
23/05/2001;SO;Cima Piazzi -Valdidentro;1;2;2;;
02/06/2001;SO;Strada Passo Forcola -Livigno;6;1;;1;
13/10/2001;BZ;OrtlesParete Nord Ovest;5;1;;1;
15/12/2001;BZ;Predoi Passo Merbe;1;2;;;2
11/02/2002;SO;Bormio Valle Cetta;3;2;2;;
11/02/2002;AO;Valsavaranche Gran Paradiso;5;2;;1;1
12/02/2002;BZ;Curon Dosso di Dentro;2;1;;1;
19/02/2002;BZ;Val Senales;3;1;;;1
19/02/2002;TO;Claviere Colletto Verde;3;1;;1;
21/02/2002;TN;Folgarida Strada di Todaro;6;3;;3;
23/02/2002;TN;Val dei Mocheni;2;1;;;1
23/02/2002;BZ;Val Martello Sluderspitze;1;1;;1;
03/03/2002;TO;Cesana Rio Nero;3;1;1;;
03/03/2002;BZ;Valle Aurina Rio Bianco;1;2;2;;
03/03/2002;BZ;Valle Aurina Monte Spico;3;1;;1;
04/03/2002;BZ;Valle Aurina Monte Spico;3;1;1;;
28/03/2002;BZ;Val Senales;3;2;2;;
13/04/2002;BS;Ponte di Legno Tonale;3;3;;3;
28/04/2002;BZ;Curon Barbadorso;1;1;;1;
24/06/2002;TN;Molveno Cima Brenta;2;1;;;1
08/12/2002;BL;Cortina d'Ampezzo Lagazuoi;1;2;1;1;0
19/12/2002;BZ;Passo Rombo Öñtztaler Alpen;1;1;0;0;1
23/12/2002;SO;Costa del Sol - Livigno Plan della Montanella;3;1;1;0;0
26/12/2002;BZ;Dossi di Dentro Val di Roja;1;2;2;0;0
29/12/2002;TN;Cima Sella Gruppo di Brenta;1;2;2;0;0
29/12/2002;SO;Valdisotto Chiesetta S. Colombano;1;3;3;0;0
29/12/2002;BZ;Cima di Gioveretto Gruppo dell'Ortles;1;1;0;1;0
29/12/2002;BZ;Rifugio Canziani Gruppo dell'Ortles;2;1;1;0;0
29/12/2002;SO;Val Lunga - Tartano Pizzo Scala;2;2;0;0;2
29/12/2002;BZ;Val di Roja;1;1;1;0;0
29/12/2002;SO;Chiesa Valmalenco Val Giumellino;1;2;0;2;0
29/12/2002;BS;Monte Frerone- Breno Passo Frerone;1;6;6;0;0
29/12/2002;TN;Om Picol Cima Uomo;3;1;1;0;0
29/12/2002;BG;Val Sambuzza - Carona Pizzo Zema;1;2;0;0;2
29/12/2002;TN;Punta Tognola Lagorai;3;1;1;0;0
30/12/2002;TN;Val d'Ambiez Gruppo di Brenta;5;2;2;0;0
30/12/2002;BZ;Maso Corto Öñtztaler Alpen;3;3;3;0;0
30/12/2002;BG;Cima dei Sistri - Valleve Forcella Rossa;1;3;3;0;0
30/12/2002;SO;Val Nera - Livigno Pizzo Val Nera;1;1;0;0;1
31/12/2002;SO;Lanzada Pizzo Scalino;1;1;1;0;0
01/01/2003;TN;Cima Vegaia Ortles - Cevedale;2;1;0;0;1
01/01/2003;BL;Lago di Cavia Pale di San Martino;3;1;1;0;0
01/01/2003;SO;Sassalbo - Grosio Forcola Di Rosso;1;1;0;1;0
01/01/2003;TN;Cima Belmonte Maddalene;1;1;1;0;0
03/01/2003;BZ;Dossi di Dentro Val di Roja;1;2;2;0;0
03/01/2003;BL;Passo Pordoi Sella;3;1;0;1;0
04/01/2003;BZ;Val di Roja;1;1;1;0;0
04/01/2003;BZ;Karlen Val di Roja;2;1;1;0;0
05/01/2003;AO;Col Fetita Testa di Serena;1;6;0;3;1
05/01/2003;BS;Vezza d' Oglio Caret - Val Grande;5;3;2;0;1
06/01/2003;BZ;Grienplatten Val di Roja;1;1;1;0;0
07/01/2003;TN;M.Redival Ortles - Cevedale;1;2;1;1;0
09/01/2003;SO;Valfurva Val Sobretta;2;1;1;0;0
10/01/2003;TN;Pietra Grande Brenta;3;1;1;0;0
11/01/2003;TN;Tombola Nera, malga Soragazza Lagorai;1;2;2;0;0
12/01/2003;SO;Valfurva Sasso della Manzina;1;1;1;0;0
12/01/2003;AO;Mont FallÇre Mont FallÇre;1;10;0;6;4
12/01/2003;TN;GrostÇ, pian della Regina Brenta;2;1;1;0;0
19/01/2003;BZ;impianti m.te Spico Valle Aurina;3;2;2;0;0
21/01/2003;SO;Madesimo SP 66;6;1;1;0;0
22/01/2003;BG;Foppolo Monte Valgussera;3;1;1;0;0
24/01/2003;BZ;Solda Ortes Cevedale;8;2;1;1;0
25/01/2003;BL;Cortina d'Ampezzo Ra Valles;3;2;2;0;0
25/01/2003;UD;Casera Valsecca (tra Monte Valsecca e Monte Runch) Alpi Carniche Gruppo del Monte Crostis;8;4;2;1;1
26/01/2003;SO;Val Gerola- Rasura Pizzo Olano;1;9;3;3;3
01/02/2003;AO;Ghiacciaio del Mont Frety M.Bianco;3;1;0;0;1
01/02/2003;AO;Aiguilless MarbrÇes M.Bianco;3;1;0;1;0
06/02/2003;BZ;Maso Corto Val Senales;3;1;0;0;1
07/02/2003;TN;Monzoni;1;2;1;1;0
09/02/2003;SO;Costa del Sol - Livigno Plan della Montanella;3;2;2;0;0
16/02/2003;BZ;Riva di Tures Hirbernock - cima di Moia;1;3;0;1;2
16/02/2003;BZ;P.sso del Brennero Spina del Lupo;2;1;1;0;0
19/03/2003;SO;Valfurva Val dei Forni- Rif. Branca;2;1;1;0;0
24/03/2003;SO;Valfurva Canalino S. Giacomo;2;1;1;0;0
05/04/2003;BL;Cortina d'Ampezzo Passo Giau;2;2;2;0;0
05/04/2003;TN;Cermis Lagorai;1;1;1;0;0
04/05/2003;SO;Ghiacciaio dei Forni - Valfurva Monte Giumella;2;1;1;0;0
19/05/2003;SO;Chiesa Valmalenco Pizzo Cassandra;5;2;0;2;0
31/05/2003;SO;Val Verva - Valdidentro Cima Piazzi;1;3;2;0;1
24/10/2003;SO;Livigno SS Val Forcola;6;2;2;0;0
01/11/2003;BZ;Maso Corto - Senales Gletschersee;8;2;2;0;0
01/11/2003;TN;Monte Marmolada;4;1;1;0;0
09/11/2003;SO;Lanzada Pizzo Scalino;2;1;1;0;0
29/11/2003;CN;Limone Piemonte Alpi Marittime Vallone dell'Abisso;1;2;0;2;0
05/12/2003;BZ;Selva di Val Gardena Dantercepies CirDolomiti;3;1;0;0;1
06/12/2003;BZ;P. Lavina Bianca Dolomiti di Sesto;1;4;3;1;0
17/12/2003;SO;Valfurva Val Cedec;1;1;1;0;0
19/12/2003;SO;Costa del SolLivigno Plan della Montanella;3;2;2;0;0
24/12/2003;TO;Ceresole Reale Colle della Terra;1;1;0;1;0
26/12/2003;SO;Carosello 3000 - Livigno Alpi ReticheRin da Gen;3;2;0;0;2
27/12/2003;TN;Forcella Camosci Latemar;2;5;2;2;1
27/12/2003;TO;Cesana Torinese Alpi Cozie- Punta Glassiez;1;2;1;1;0
29/12/2003;SO;Madesimo Loc. Teggiate;8;2;2;0;0
29/12/2003;BS;Monte Campione;3;1;1;0;0
29/12/2003;SO;Livigno Mottolino;3;1;1;0;0
29/12/2003;SO;Madesimo Loc. Teggiate;8;4;4;0;0
30/12/2003;TN;Cermis To de la Trapola;3;0;2;0;0
03/01/2004;CN;Frabosa Sottana Trucca il Gaviot Alpi Liguri;4;0;2;0;0
04/01/2004;MO;Canale del Poggione Monte Cimone;1;2;1;0;1
04/01/2004;TN;Cevedale Cima San Matteo Gruppo Ortles;1;2;1;0;1
04/01/2004;AO;Cogne Valeille;5;2;1;1;0
05/01/2004;BL;Falcade Valfrebba;8;1;1;0;0
05/01/2004;BL;Rifugio Auronzo Tre Cime Lavaredo;8;2;2;0;0
05/01/2004;BZ;Corno del CeppoVal Scaleres Alpi Sarentinesi;2;1;0;0;1
05/01/2004;BG;Mezzoldo Alpe AncognoPizzo Segade;8;1;0;0;1
06/01/2004;BZ;Merano 2000;3;0;1;0;0
06/01/2004;BZ;Jacobspitze Alpi Sarentinesi;2;2;1;0;1
16/01/2004;BL;Passo Pordoi - Larsei Piz BoÇ;3;1;0;1;0
18/01/2004;LC;Grigna Meridionale Cresta Cermenati;5;1;1;0;0
22/01/2004;TN;Piz BoÇ;5;2;0;1;1
24/01/2004;AO;Courmayeur Monte Frety;3;1;0;0;1
27/01/2004;SO;Livigno Vallaccia;8;2;2;0;0
31/01/2004;VI;Vajo Battisti Cima Zevola;5;2;0;1;1
03/02/2004;BZ;Val Giovo - Vipiteno Caspineto;6;1;1;0;0
19/02/2004;PN;Le Vielle Monte Provagna;6;1;1;0;0
22/02/2004;CN;Frabosa Sottana ArtesinaColle Bauzana;4;1;0;0;1
24/02/2004;BL;Porta Vescovo Pizzac Padon Sasso Cappello;3;1;1;0;0
28/02/2004;BZ;Passo Gardena;6;2;2;0;0
29/02/2004;BZ;Selva Valgardena Dantercepies;3;0;3;0;0
29/02/2004;BS;Monte Campione;3;3;3;0;0
29/02/2004;BZ;Giogobello Plose;3;1;0;0;1
08/03/2004;TN;Col Rodella;8;2;1;1;0
08/03/2004;BS;Edolo Motto della Scala;8;2;2;0;0
11/03/2004;BL;Passo Falzarego;6;2;2;0;0
12/03/2004;SO;Bormio 3000 Vallone Vallecetta;3;1;0;0;1
13/03/2004;BZ;Riva di Tures Monte Nevoso;1;1;1;0;0
14/03/2004;SO;Val GerolaPescegatto Orobie Valtellinesi;3;2;2;0;0
25/03/2004;BZ;Rif. Bellavista Schmugglerinne;3;2;1;0;1
04/04/2004;BL;Passo Duran San Sebastiano;2;1;0;0;1
10/04/2004;BZ;Jacobspitze Alpi Sarentinesi;1;4;3;0;1
20/04/2004;AO;Ghiacciaio del Mont Frety Monte Bianco;3;1;0;0;1
20/04/2004;SO;Punta San Matteo OrlesCevedale;2;1;1;0;0
24/04/2004;UD;Forni Avoltri Monte Coglians;1;1;0;0;1
01/05/2004;BS;Adamello Cresta Croce;1;2;1;1;0
12/05/2004;SO;Valdidentro Vallaccia Corta;2;2;2;0;0
13/05/2004;SO;Bormio Statale dello Stelvio;6;1;1;0;0
17/07/2004;BL;Cortina d'Ampezzo Monte Cristallo;5;2;0;0;2
18/12/2004;UD;Monte Forato;1;1;0;1;0
19/12/2004;BS;Val Paisco;1;1;;1;
19/12/2004;UD;Monte Bivera;1;1;1;0;0
26/12/2004;UD;Prasnig-Cacciatore;1;3;3;0;
28/12/2004;BL;Passo Campolongo;3;1;1;;
29/12/2004;BL;Passo Padon;3;1;1;;
30/12/2004;BZ;Alpi Sarentine;1;1;1;;
30/12/2004;AQ;Prati di Tivo;4;2;;2;
02/01/2005;SO;Val di Lei;3;1;1;;
04/01/2005;BZ;Le Odle;5;1;;;1
06/01/2005;BZ;Valle del Vento;1;7;7;;
09/01/2005;SO;Cima Piazzi;1;1;1;;
20/01/2005;ud;Vers. N M. Zermula;1;2;2;0;0
22/01/2005;Bz;Monte Spico;3;1;1;0;0
29/01/2005;AO;Col d'Ars;2;3;;1;2
30/01/2005;PN;Cimon di Resettum;2;1;1;0;0
05/02/2005;BZ;Slingia;2;2;1;1;
19/02/2005;Bz;Valle Aurina;1;3;1;1;1
19/02/2005;BZ;Val di Fleres;1;1;;;1
09/03/2005;BL;Forcella Cristallo;1;2;;1;1
10/03/2005;VI;Monte Verena;3;1;1;;
12/03/2005;CN;Vinadio- C.Varirosa;5;1;0;0;1
12/03/2005;Bz;Val di Vizze;1;2;1;1;
13/03/2005;Bz;Valle Lunga;2;2;2;;
13/03/2005;TO;Punta Basei;5;2;2;;
19/03/2005;PN;Monte Tremol;2;1;1;0;0
24/03/2005;BL;Arabba - Portados;3;3;2;1;
02/04/2005;BZ;Val di Fleres;1;1;;1;
13/04/2005;BL;Cadini di Misurina;2;2;1;;1
17/04/2005;BZ;MasoCorto ValSenales;3;1;1;;
20/04/2005;AO;Percorso Mezzalama;1;1;;1;
23/04/2005;UD;Monte Canin;5;1;1;0;0
23/04/2005;SO;Cima S.Giacomo;2;2;2;;
24/04/2005;BZ;NevesValleRioMolino;1;2;;2;
15/05/2005;CN;Monviso;5;2;0;0;2
08/11/2005;TN;Serauta Marmolada;2;1;1;;
20/11/2005;BZ;Morgenkofel;5;2;2;0;
03/12/2005;CN;Limone Piemonte;1;1;;1;
04/12/2005;SO;Motta Grande;1;4;2;2;
04/12/2005;SO;Pista S.Ambrogio;3;1;1;;
10/12/2005;BZ;Cima Solda;1;3;3;;
11/12/2005;BZ;Le Maddalene;2;;;;
11/12/2005;BL;Monte Pelmo;1;1;1;;
11/12/2005;SO;Val Febbraro;2;1;1;;
11/12/2005;UD;Monte Zermula;1;1;1;;
11/12/2005;UD;Monte Crostis;8;2;0;;2
11/12/2005;BL;Monte Pelmo;1;;;;
12/12/2005;BZ;Zentleser Kofl;8;1;1;;
17/12/2005;BG;Cima di Timogno;2;1;;;1
18/12/2005;SO;Rin da Gen - Livigno;3;2;1;;1
30/12/2005;AQ;PRATI DI TIVO;4;2;;2;
03/01/2006;AO;Colle Menouve (GSB);2;1;;1;
03/01/2006;TN;M. Ciste gr. Lagorai;8;1;1;0;
04/01/2006;BZ;Traversata Carnica;5;1;2;;
04/01/2006;BZ;Schafskopf Va. Lunga;2;1;4;;
05/01/2006;SO;Val dell'Alpe;3;2;2;;
19/01/2006;BL;Tre Cime lavaredo -;1;3;2;1;
21/01/2006;BL;Val Caprara, Pasubio;1;1;1;;
27/01/2006;Tn;Campregheri;6;2;2;0;0
28/01/2006;TN;San Martino Castrozz;3;1;1;;
28/01/2006;BL;Arten Fonzaso;7;1;1;;
28/01/2006;LC;Piani di Bobbio;8;1;1;;
29/01/2006;LC;Grignetta;5;1;;;1
29/01/2006;BS;Punta Almana;8;2;1;1;
29/01/2006;TN;Moena - Lusia;4;3;;3;
29/01/2006;TN;C.Paradisi-Caoria;2;2;2;;
29/01/2006;BG;Colere;3;2;2;;
01/02/2006;BL;Monte Tamer;1;1;1;;
04/02/2006;CN;Punta Incianao;1;1;;;1
04/02/2006;CN;Monte Sibolet;2;3;2;;1
07/02/2006;SO;Cima delle Mine;3;1;1;;
19/02/2006;TN;Brentonico;2;1;;;1
19/02/2006;TN;Storo;1;1;;1;
20/02/2006;BL;Livinallongo;6;1;1;;
20/02/2006;TO;Sestriere - Sises;3;0;;;
20/02/2006;UD;Bila Pec (A. Giulie);8;3;1;;2
20/02/2006;BZ;cittÖ dei sassi;8;1;1;;
21/02/2006;SO;Monte Vallecetta;3;1;1;;
21/02/2006;CN;Argentera;2;1;;;
21/02/2006;TO;Bardonecchia;3;2;2;;
21/02/2006;BL;Faloria- Cortina;4;1;;1;
23/02/2006;BG;Colere;3;2;2;;
25/02/2006;BL;Arabba;3;1;1;;
25/02/2006;CN;Argentera;3;0;;;
25/02/2006;BZ;Lappago;2;1;;1;
26/02/2006;SO;Vallaccia - Livigno;3;1;;;1
26/02/2006;AO;Punta Bettolina;3;1;;1;
26/02/2006;BZ;Val Giovo;2;1;;;1
26/02/2006;CN;Vallone di Bellino;8;1;;1;
26/02/2006;AO;Pila - Couiss 1;3;1;1;;
26/02/2006;BL;Alpago;1;3;;;
26/02/2006;BZ;Val Rosim Solda;3;1;;;1
27/02/2006;TO;Rio Nero;3;0;;;
03/03/2006;TN;Gruppo di Brenta;2;2;1;1;
03/03/2006;CN;Artesina;1;20;20;;
03/03/2006;CN;M.Bisalta;2;1;1;;
05/03/2006;BS;Monte Serodine;3;1;1;;
05/03/2006;CN;Argentera Bersezio;8;1;;1;
05/03/2006;TO;M.Cotolivier;1;1;;1;
05/03/2006;BL;Arabba;3;1;;;1
05/03/2006;SO;Monte Vallecetta;3;2;;;
05/03/2006;SO;Monte Serodine;3;1;1;;
05/03/2006;TO;M. Jafferau;3;0;;;
06/03/2006;BZ;Dobbiaco;2;1;;1;
07/03/2006;Tn;Fravort;2;1;;;1
08/03/2006;BZ;Val di Mazia;1;1;;;1
08/03/2006;BZ;Val Casies;1;2;1;1;
17/03/2006;CN;Crissolo;1;1;;;1
25/03/2006;CN;Monte Freide;1;2;1;1;0
25/03/2006;TN;Primiero-PaleS.Mart.;1;3;;3;
26/03/2006;SO;Monte Alpisella;2;1;1;;
26/03/2006;TN;Daone-M.gaBoazzo;5;1;;;1
01/04/2006;AO;Rif. Torino;3;1;0;1;
02/04/2006;SO;M.Vallecetta;3;2;2;;
09/04/2006;SO;Monte Forcellina;2;1;1;;
09/04/2006;TN;Marmolada;2;1;0;1;0
11/04/2006;BZ;Val Martello;1;4;1;;3
12/04/2006;AO;Col d'Orein;2;2;;2;
12/04/2006;AO;Platta Grevon-PILA;3;2;2;0;
10/05/2006;SO;Punta San Matteo;2;1;;1;
11/05/2006;SO;Cime di Pejo;1;4;3;1;
10/12/2006;AO;Cervinia (Teodulo);3;0;0;0;0
03/01/2007;TN;Val S. Nicolï;2;0;0;0;1
03/01/2007;SO;Livigno;3;2;2;;
04/01/2007;AO;Gressoney L.T-Zitten;3;2;2;0;0
06/01/2007;AO;LaThuile (Belvedere);3;0;0;0;0
06/01/2007;BZ;Val Passiria/ Plan;5;1;0;0;1
06/01/2007;Bz;Val Senales;8;1;1;;
06/01/2007;SO;Val Alpisella;1;3;3;;
06/01/2007;VC;Alagna;3;4;3;1;
07/01/2007;AO;GSBernardo-ColSerena;1;5;5;0;0
26/01/2007;AO;Cogne - Rif. Sella;2;1;0;1;0
27/01/2007;BL;Passo Fedaia;3;1;;1;
27/01/2007;SO;M.Pedena - Albaredo;1;5;4;;1
28/01/2007;BZ;Monte Spico;3;3;1;2;
09/02/2007;AO;M.Bianco-C.Gigante;3;1;0;0;1
15/02/2007;AO;M.Bianco - Toula;3;4;4;0;0
15/02/2007;SO;Val Caronella;1;1;;1;
02/03/2007;CN;Valle Stura;2;7;7;0;0
04/03/2007;VC;Alagna;3;7;7;0;0
04/03/2007;BZ;Valle Aurina;1;4;4;0;
05/03/2007;SO;Vedretta Cristallo;2;1;1;;
10/03/2007;SO;M.Pedena - Albaredo;1;2;1;1;
11/03/2007;BL;M. Pelmo F.lla Rossa;1;3;;3;0
11/03/2007;bl;Forcella Camin;2;2;;;2
11/03/2007;AO;ValdiRhemes-Entrelor;2;3;3;0;0
11/03/2007;BZ;S. Candido;1;1;;1;
12/03/2007;SO;Cima Solda;2;1;;1;
25/03/2007;BZ;P.taBeltovo di fuori;8;1;;1;
26/03/2007;AO;Bionaz-Becca Rayette;1;6;6;0;0
